Cas,Taille texte,Taille motif,MP comparaisons,MP temps (s),BM comparaisons,BM temps (s),Ratio comparaisons (BM/MP),Ratio temps (BM/MP)
Meilleur cas BM,100000,10,199991,0.05788612365722656,99991,0.05580902099609375,0.4999774989874544,0.9641174338528452
Meilleur cas BM,100000,20,199981,0.06582403182983398,99981,0.08876252174377441,0.49995249548707127,1.3484819947407691
Meilleur cas BM,100000,50,199951,0.09175467491149902,99951,0.09773921966552734,0.49987746998014515,1.0652233225151813
Meilleur cas BM,100000,100,199901,0.06781649589538574,99901,0.06183457374572754,0.49975237742682627,0.9117925208213948
Meilleur cas BM,100000,200,199801,0.08776664733886719,99801,0.09973335266113281,0.499502004494472,1.1363468434206236
Meilleur cas BM,500000,5,999996,0.3381350040435791,499996,0.2841989994049072,0.49999799999199995,0.840489733409202
Meilleur cas BM,500000,10,999991,0.18550539016723633,499991,0.4468057155609131,0.49999549995949966,2.408586161071169
Meilleur cas BM,500000,20,999981,0.18949103355407715,499981,0.28523755073547363,0.49999049981949656,1.5052825739856037
Meilleur cas BM,500000,50,999951,0.18550324440002441,499951,0.2712745666503906,0.4999754987994412,1.4623710088078379
Meilleur cas BM,500000,100,999901,0.32912135124206543,499901,0.39893293380737305,0.4999504950990148,1.2121150217141698
Meilleur cas BM,500000,200,999801,0.22045135498046875,499801,0.36601996421813965,0.49990048019555894,1.6603207734902232
Meilleur cas BM,1000000,5,1999996,0.3769500255584717,999996,0.5515666007995605,0.499998999998,1.4632353452752391
Meilleur cas BM,1000000,10,1999991,0.5604610443115234,999991,0.6453096866607666,0.49999774998987495,1.1513907937231787
Meilleur cas BM,1000000,20,1999981,0.7181193828582764,999981,0.9035441875457764,0.4999952499548746,1.2582088843633041
Meilleur cas BM,1000000,50,1999951,0.386962890625,999951,0.6412887573242188,0.49998774969986765,1.6572358044164037
Meilleur cas BM,1000000,100,1999901,0.5245928764343262,999901,0.5505280494689941,0.49997524877481436,1.0494386679646703
Meilleur cas BM,1000000,200,1999801,0.4378664493560791,999801,0.5584685802459717,0.4999502450493824,1.2754313126005625
Pire cas BM,1000,5,1000,0.0009987354278564453,4980,0.0009961128234863281,4.98,0.9973740749582239
Pire cas BM,1000,10,1000,0.0,9910,0.0019943714141845703,9.91,inf
Pire cas BM,1000,20,1000,0.0009975433349609375,19620,0.004988670349121094,19.62,5.000956022944551
Pire cas BM,1000,50,1000,0.0009968280792236328,47550,0.019946575164794922,47.55,20.01004544367376
Pire cas BM,1000,100,1000,0.0009958744049072266,90100,0.018949270248413086,90.1,19.027771127603543
Pire cas BM,1000,200,1000,0.0,160200,0.030917882919311523,160.2,inf
Pire cas BM,10000,5,10000,0.0029914379119873047,49980,0.01296544075012207,4.998,4.334183470152228
Pire cas BM,10000,10,10000,0.0029921531677246094,99910,0.022938251495361328,9.991,7.66613545816733
Pire cas BM,10000,20,10000,0.0019948482513427734,199620,0.04288506507873535,19.962,21.497908449862557
Pire cas BM,10000,50,10000,0.002992391586303711,497550,0.12566399574279785,49.755,41.994502430085255
Pire cas BM,10000,100,10000,0.004986763000488281,990100,0.2513270378112793,99.01,50.398833428953914
Pire cas BM,10000,200,10000,0.0029921531677246094,1960200,0.44484829902648926,196.02,148.67163346613546
Pire cas BM,100000,5,100000,0.04584097862243652,499980,0.2234025001525879,4.9998,4.873423449194107
Pire cas BM,100000,10,100000,0.0718088150024414,999910,0.4857010841369629,9.9991,6.763808651075076
Pire cas BM,100000,20,100000,0.06781864166259766,1999620,0.5126638412475586,19.9962,7.559335142660273
Pire cas BM,100000,50,100000,0.029915332794189453,4997550,1.2745909690856934,49.9755,42.606611728326186
Pire cas BM,100000,100,100000,0.02988266944885254,9990100,2.926175832748413,99.901,97.92216983013795
Pire cas BM,100000,200,100000,0.0718076229095459,19960200,4.9168477058410645,199.602,68.47250342814833
Pire cas BM,500000,5,500000,0.28324413299560547,2499980,0.7061092853546143,4.99996,2.49293525654623
Pire cas BM,500000,10,500000,0.1645965576171875,4999910,1.8450310230255127,9.99982,11.209414399276907
Pire cas BM,500000,20,500000,0.26632094383239746,9999620,2.7655699253082275,19.99924,10.384350120990375
Pire cas BM,500000,50,500000,0.16256308555603027,24997550,6.261254549026489,49.9951,38.51584464954337
Pire cas BM,500000,100,500000,0.25531864166259766,49990100,13.91981053352356,99.9802,54.519366243215885
Pire cas BM,500000,200,500000,0.16053104400634766,99960200,28.069925785064697,199.9204,174.85668244925117
Pire cas BM,1000000,5,1000000,0.5207533836364746,4999980,1.8909425735473633,4.99998,3.631167137777802
Pire cas BM,1000000,10,1000000,0.36601853370666504,9999910,3.069791316986084,9.99991,8.386983265296285
Pire cas BM,1000000,20,1000000,0.3620319366455078,19999620,5.519238471984863,19.99962,15.245170144724433
Pire cas BM,1000000,50,1000000,0.36206722259521484,49997550,13.89579725265503,49.99755,38.379053351068734
Pire cas BM,1000000,100,1000000,0.3261291980743408,99990100,27.251116275787354,99.9901,83.55926558153647
Pire cas BM,1000000,200,1000000,0.3720402717590332,199960200,54.28289222717285,199.9602,145.90595789676055
Séquences ADN aléatoires,1000,5,1268,0.015958547592163086,498,0.0009970664978027344,0.39274447949526814,0.062478523941136926
Séquences ADN aléatoires,1000,10,1241,0.0010213851928710938,460,0.0,0.370668815471394,0.0
Séquences ADN aléatoires,1000,20,1244,0.0,295,0.0,0.23713826366559485,
Séquences ADN aléatoires,1000,50,1240,0.0,404,0.0009992122650146484,0.3258064516129032,inf
Séquences ADN aléatoires,1000,100,1254,0.0,546,0.0,0.4354066985645933,
Séquences ADN aléatoires,1000,200,1256,0.0,495,0.0009975433349609375,0.39410828025477707,inf
Séquences ADN aléatoires,10000,5,12436,0.0029935836791992188,5273,0.001993894577026367,0.42401093599228046,0.6660560688117235
Séquences ADN aléatoires,10000,10,12500,0.002991199493408203,5609,0.0029921531677246094,0.44872,1.000318826717679
Séquences ADN aléatoires,10000,20,12359,0.0029916763305664062,3708,0.0020294189453125,0.30002427380856056,0.6783551163532037
Séquences ADN aléatoires,10000,50,12467,0.004987478256225586,5045,0.004987001419067383,0.4046683243763536,0.9999043931354271
Séquences ADN aléatoires,10000,100,12469,0.005983829498291016,6956,0.004998445510864258,0.5578635014836796,0.8353255239461311
Séquences ADN aléatoires,10000,200,12380,0.0039882659912109375,5724,0.002991914749145508,0.46235864297253637,0.7501793400286944
Séquences ADN aléatoires,100000,5,124679,0.0359034538269043,52569,0.03693199157714844,0.4216347580586947,1.0286473205392124
Séquences ADN aléatoires,100000,10,125088,0.03989291191101074,33672,0.020983219146728516,0.26918649270913275,0.5259886566700334
Séquences ADN aléatoires,100000,20,124519,0.033911943435668945,35299,0.021938323974609375,0.2834828419759233,0.6469202809395587
Séquences ADN aléatoires,100000,50,124536,0.026961088180541992,14463,0.008941173553466797,0.11613509346694932,0.331632517708232
Séquences ADN aléatoires,100000,100,123396,0.029920339584350586,22508,0.010970115661621094,0.18240461603293462,0.36664408940595244
Séquences ADN aléatoires,100000,200,125090,0.039888620376586914,37609,0.021946191787719727,0.3006555280198257,0.5501867846149249
Séquences ADN aléatoires,500000,5,622582,0.1964435577392578,280311,0.15558171272277832,0.45023948652546975,0.7919919314904896
Séquences ADN aléatoires,500000,10,623684,0.16559267044067383,258012,0.1525559425354004,0.41369026622456245,0.9212723131369268
Séquences ADN aléatoires,500000,20,622568,0.16954612731933594,176134,0.09275269508361816,0.282915279937292,0.5470646634642428
Séquences ADN aléatoires,500000,50,620619,0.18749499320983887,260755,0.1655890941619873,0.42015310520625376,0.8831654185915507
Séquences ADN aléatoires,500000,100,625164,0.15255284309387207,144077,0.09476351737976074,0.23046272658054526,0.6211848658988861
Séquences ADN aléatoires,500000,200,622403,0.2822451591491699,253400,0.15259289741516113,0.4071317136967528,0.5406395556088669
Séquences ADN aléatoires,1000000,5,1241246,0.5714731216430664,525406,0.37100744247436523,0.42328917877680977,0.6492124098639427
Séquences ADN aléatoires,1000000,10,1249894,0.5036509037017822,421827,0.19148778915405273,0.3374902191705857,0.3801994352569155
Séquences ADN aléatoires,1000000,20,1244643,0.473768949508667,464457,0.28220629692077637,0.37316483521780947,0.5956622889985612
Séquences ADN aléatoires,1000000,50,1246026,0.35504961013793945,570140,0.31316089630126953,0.4575666960400505,0.8820201103152998
Séquences ADN aléatoires,1000000,100,1241988,0.28324270248413086,296328,0.22539758682250977,0.2385916772142726,0.7957754422115714
Séquences ADN aléatoires,1000000,200,1249778,0.31316184997558594,382096,0.17253851890563965,0.3057310978429769,0.5509563790068641
